definition,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
Right.letter_b,0.7847428321838379,0.8592113256454468,1.1759813105527428e-06,0.7026076316833496,0.8187246322631836,-0.049748487770557404,0.6493106484413147,0.7272334694862366,-0.08947262912988663,0.7024656534194946,0.675941526889801,-0.1247209832072258,0.7892419099807739,0.6911394596099854,-0.16315004229545593,0.6673145294189453,0.5474255681037903,-0.0829583927989006,0.6709260940551758,0.39912423491477966,-0.12930803000926971,0.6797375679016113,0.30080747604370117,-0.16366535425186157,0.6929711699485779,0.21227288246154785,-0.19005121290683746,0.726714015007019,0.5330580472946167,-0.09072291105985641,0.7335960268974304,0.36129674315452576,-0.12992025911808014,0.7480632066726685,0.24609556794166565,-0.15903222560882568,0.7623553276062012,0.14602360129356384,-0.18163380026817322,0.781971275806427,0.5570437908172607,-0.10266703367233276,0.7915902137756348,0.3907153010368347,-0.13905608654022217,0.8002044558525085,0.28649601340293884,-0.166452094912529,0.8071168661117554,0.1946868896484375,-0.18629314005374908,0.8366782665252686,0.6075462102890015,-0.11898784339427948,0.8477544188499451,0.48419803380966187,-0.15261387825012207,0.8531666398048401,0.3998236656188965,-0.17093101143836975,0.8562343120574951,0.3221498727798462,-0.18470916152000427
Right.letter_b,0.7847540378570557,0.862554669380188,1.1738733292077086e-06,0.7012815475463867,0.8211129903793335,-0.04896465688943863,0.6474682092666626,0.7287173271179199,-0.08889778703451157,0.6991599798202515,0.6768402457237244,-0.12464069575071335,0.7845677137374878,0.6915899515151978,-0.1637934446334839,0.6663901805877686,0.5466676354408264,-0.0832146555185318,0.6697587370872498,0.39756566286087036,-0.13032321631908417,0.678605854511261,0.2990207076072693,-0.16557049751281738,0.6917805671691895,0.2101115584373474,-0.19264665246009827,0.7254160046577454,0.5340394973754883,-0.09185492247343063,0.7312807440757751,0.3619489073753357,-0.13219472765922546,0.744912326335907,0.24728459119796753,-0.1621290147304535,0.7583833336830139,0.14757156372070312,-0.1852339208126068,0.7804749608039856,0.5589182376861572,-0.10458380728960037,0.7889717221260071,0.3915281593799591,-0.1415175348520279,0.7972685694694519,0.28720059990882874,-0.1692746877670288,0.8039811253547668,0.19558048248291016,-0.18943004310131073,0.8353649973869324,0.6097860336303711,-0.12165708094835281,0.8460825085639954,0.48566100001335144,-0.15561915934085846,0.8511009812355042,0.4013560712337494,-0.17428891360759735,0.8536624908447266,0.3241155743598938,-0.18838617205619812
Right.letter_b,0.784838855266571,0.8609029054641724,1.161715658781759e-06,0.701806902885437,0.8183064460754395,-0.04843669757246971,0.6494185924530029,0.7269589900970459,-0.08798857033252716,0.701622486114502,0.675908625125885,-0.12340446561574936,0.7856485843658447,0.6918845772743225,-0.16183458268642426,0.6654625535011292,0.5467013716697693,-0.0808131992816925,0.6697248816490173,0.39702439308166504,-0.12685051560401917,0.6787011623382568,0.298807829618454,-0.1612163633108139,0.6918912529945374,0.21064573526382446,-0.18768088519573212,0.7243891954421997,0.5328853130340576,-0.08925925940275192,0.7313226461410522,0.3623831868171692,-0.12840932607650757,0.7455786466598511,0.2491486668586731,-0.15727245807647705,0.7596500515937805,0.1517830491065979,-0.17968833446502686,0.7794095873832703,0.5568097233772278,-0.10187285393476486,0.7893627285957336,0.3902687430381775,-0.13768340647220612,0.7983297109603882,0.287161260843277,-0.1642652451992035,0.8052957057952881,0.19664540886878967,-0.18364456295967102,0.8341237902641296,0.6069308519363403,-0.11888864636421204,0.8451740145683289,0.48404833674430847,-0.15190266072750092,0.8499871492385864,0.4000530242919922,-0.16976061463356018,0.8522993326187134,0.3231152296066284,-0.18323710560798645
Right.letter_b,0.7835440039634705,0.8615727424621582,1.1693039141391637e-06,0.6997300386428833,0.8172099590301514,-0.04562155902385712,0.6473822593688965,0.7227746248245239,-0.08354903012514114,0.6964889764785767,0.6713631749153137,-0.11800675094127655,0.7775003910064697,0.6915227174758911,-0.1557304710149765,0.6655945777893066,0.543411374092102,-0.07652249932289124,0.6699754595756531,0.3956174850463867,-0.12129401415586472,0.6787726879119873,0.29901644587516785,-0.15500234067440033,0.6916860342025757,0.21161097288131714,-0.18109095096588135,0.7237679362297058,0.5312241911888123,-0.08623500913381577,0.7313793897628784,0.3610067069530487,-0.12432121485471725,0.7458364963531494,0.24733126163482666,-0.15234559774398804,0.7606237530708313,0.15001323819160461,-0.17396888136863708,0.7784236669540405,0.5564851760864258,-0.10006953030824661,0.7882735729217529,0.3895387649536133,-0.13508465886116028,0.7971017360687256,0.2863123118877411,-0.16115547716617584,0.8045063018798828,0.19596299529075623,-0.18001265823841095,0.8326646089553833,0.6075369119644165,-0.11813393980264664,0.8437371253967285,0.48398149013519287,-0.1504167914390564,0.8489353060722351,0.3995066285133362,-0.1678248643875122,0.8517910838127136,0.32231372594833374,-0.18093647062778473
Right.letter_b,0.782783031463623,0.8583911657333374,1.1495059197841329e-06,0.6990418434143066,0.8138262629508972,-0.04554310068488121,0.6470925807952881,0.7220004796981812,-0.08300226926803589,0.6967549920082092,0.6720514297485352,-0.1169639378786087,0.7777636051177979,0.6872220039367676,-0.15388119220733643,0.6658193469047546,0.5396689176559448,-0.07434679567813873,0.6708749532699585,0.3931956887245178,-0.11833338439464569,0.6797820925712585,0.297189325094223,-0.1516147404909134,0.6926913261413574,0.2110535204410553,-0.17731910943984985,0.7236538529396057,0.5265706777572632,-0.08349980413913727,0.731880247592926,0.35883674025535583,-0.12065465748310089,0.7465050220489502,0.24671554565429688,-0.14842118322849274,0.7612695693969727,0.15093788504600525,-0.16998380422592163,0.7775890827178955,0.551337718963623,-0.0968894362449646,0.7890835404396057,0.3867141008377075,-0.13116736710071564,0.798550009727478,0.284727543592453,-0.15695098042488098,0.8062146902084351,0.19530907273292542,-0.17574277520179749,0.8310026526451111,0.6030846834182739,-0.11452092975378036,0.8439400792121887,0.4818161725997925,-0.14638906717300415,0.8496641516685486,0.39821505546569824,-0.16357016563415527,0.8526658415794373,0.32153087854385376,-0.1764635592699051
Right.letter_b,0.7853909134864807,0.8569443225860596,1.1526713024068158e-06,0.70213383436203,0.8143075108528137,-0.04607148468494415,0.6484881639480591,0.7245281338691711,-0.08432133495807648,0.6974912285804749,0.675531268119812,-0.11907348036766052,0.7799887657165527,0.6894440054893494,-0.15678676962852478,0.6668464541435242,0.5400574207305908,-0.07570362836122513,0.6706559658050537,0.39279526472091675,-0.12067604809999466,0.6793683767318726,0.29619768261909485,-0.15465062856674194,0.6920813918113708,0.21005654335021973,-0.18072985112667084,0.7243960499763489,0.5268650054931641,-0.08488345146179199,0.7315635085105896,0.3582066595554352,-0.12301158159971237,0.7458792328834534,0.2457793653011322,-0.15131498873233795,0.7602347731590271,0.15003368258476257,-0.17316009104251862,0.7781656980514526,0.5514140129089355,-0.09832839667797089,0.7884887456893921,0.3862473964691162,-0.13332930207252502,0.7979286909103394,0.2840763330459595,-0.15941935777664185,0.8054032921791077,0.1950622797012329,-0.1783827394247055,0.8315404057502747,0.6027593016624451,-0.11603480577468872,0.8444641828536987,0.4814341068267822,-0.14841295778751373,0.8503783345222473,0.3978388011455536,-0.16580161452293396,0.8533653020858765,0.32149437069892883,-0.17881935834884644
Right.letter_b,0.7845524549484253,0.856492280960083,1.16006697226112e-06,0.7017446160316467,0.8133097887039185,-0.04494127631187439,0.6478844881057739,0.7233070135116577,-0.08297238498926163,0.6966354250907898,0.6754130125045776,-0.11781109869480133,0.7800841331481934,0.6900894641876221,-0.1558579057455063,0.667528510093689,0.5396581292152405,-0.07545101642608643,0.6709526777267456,0.39257773756980896,-0.12048862874507904,0.6792680025100708,0.2965765595436096,-0.15452086925506592,0.6915962100028992,0.21124106645584106,-0.18068279325962067,0.7249403595924377,0.5271574854850769,-0.08523648232221603,0.7320675253868103,0.3579062223434448,-0.12371767312288284,0.7466352581977844,0.2451213300228119,-0.1522718220949173,0.7614375948905945,0.14934095740318298,-0.17424127459526062,0.7783837914466858,0.5524287819862366,-0.09915276616811752,0.7878938913345337,0.38665300607681274,-0.1345043182373047,0.7969800233840942,0.2841179072856903,-0.16125266253948212,0.8043917417526245,0.19495630264282227,-0.18062464892864227,0.8315450549125671,0.6041041016578674,-0.11714893579483032,0.8448578119277954,0.4828336834907532,-0.14985530078411102,0.8506667017936707,0.3987569510936737,-0.16775202751159668,0.853760838508606,0.32195115089416504,-0.18116922676563263
Right.letter_b,0.7907545566558838,0.8561224937438965,1.1739198271243367e-06,0.708062469959259,0.8158910274505615,-0.046814773231744766,0.6518641710281372,0.730084240436554,-0.0870932787656784,0.6979480981826782,0.6837740540504456,-0.12391319870948792,0.7841833233833313,0.7001208662986755,-0.1637795865535736,0.6708852052688599,0.5423436760902405,-0.07933969050645828,0.6732349395751953,0.392894983291626,-0.12517637014389038,0.6814938187599182,0.2967086434364319,-0.15944337844848633,0.6934734582901001,0.21156278252601624,-0.18575622141361237,0.7287893891334534,0.5299526453018188,-0.088899627327919,0.7345473170280457,0.35924017429351807,-0.12867172062397003,0.7487419843673706,0.24683573842048645,-0.15727554261684418,0.7627233862876892,0.15129482746124268,-0.1790706217288971,0.7829659581184387,0.5551729798316956,-0.10259631276130676,0.7904785871505737,0.38768333196640015,-0.1390329748392105,0.7994018197059631,0.2840256989002228,-0.16571654379367828,0.8066032528877258,0.19438758492469788,-0.18483662605285645,0.8369510173797607,0.6066875457763672,-0.12047530710697174,0.850553035736084,0.4831220805644989,-0.15370313823223114,0.8578164577484131,0.39761248230934143,-0.17151124775409698,0.862251877784729,0.3196840286254883,-0.18478000164031982
Right.letter_b,0.7909985780715942,0.8598694205284119,1.1891851272594067e-06,0.7080175280570984,0.8196079730987549,-0.04623549059033394,0.6516737937927246,0.7297661304473877,-0.08492463082075119,0.6985206007957458,0.6860506534576416,-0.1204460933804512,0.786067545413971,0.7064127922058105,-0.15934766829013824,0.6730688214302063,0.5447115898132324,-0.07659979909658432,0.6743491291999817,0.3964572548866272,-0.1211610957980156,0.6816394925117493,0.3004262149333954,-0.1548788696527481,0.6927635669708252,0.21509012579917908,-0.18111780285835266,0.7306864857673645,0.5321699380874634,-0.08608004450798035,0.73587566614151,0.36210086941719055,-0.12503647804260254,0.749299168586731,0.24981838464736938,-0.1540358066558838,0.7628779411315918,0.15376058220863342,-0.17629103362560272,0.7848285436630249,0.5569573640823364,-0.09977629035711288,0.7919559478759766,0.38979220390319824,-0.13607345521450043,0.8004505038261414,0.28645265102386475,-0.16412672400474548,0.807485044002533,0.19721516966819763,-0.18430006504058838,0.8384609818458557,0.6077213287353516,-0.11754142493009567,0.8537915945053101,0.48465025424957275,-0.15085753798484802,0.8627099990844727,0.3995552062988281,-0.16966848075389862,0.8685232400894165,0.3214111328125,-0.18391092121601105
Right.letter_b,0.7901036739349365,0.8595073223114014,1.1908316537301289e-06,0.7074039578437805,0.817872941493988,-0.04553704336285591,0.6532989144325256,0.729155421257019,-0.08391805738210678,0.700855016708374,0.6850275993347168,-0.1193011924624443,0.7865359783172607,0.7029106616973877,-0.15778352320194244,0.6733530163764954,0.5440253019332886,-0.07374828308820724,0.6750540733337402,0.3969692587852478,-0.11814108490943909,0.6831156015396118,0.3004191219806671,-0.15192310512065887,0.6954473853111267,0.21433287858963013,-0.17781376838684082,0.7304383516311646,0.5307549834251404,-0.08315406739711761,0.736329197883606,0.3619026839733124,-0.1208839938044548,0.7494739294052124,0.24872899055480957,-0.1491924375295639,0.763614296913147,0.1523648500442505,-0.17089170217514038,0.7845553755760193,0.5548405647277832,-0.09685900807380676,0.7929427623748779,0.38891124725341797,-0.131601944565773,0.8015894889831543,0.2845271825790405,-0.15826402604579926,0.8093759417533875,0.19397133588790894,-0.17753572762012482,0.83831787109375,0.6056360602378845,-0.11474847048521042,0.8547399044036865,0.4835917055606842,-0.14642420411109924,0.8633347749710083,0.3982348144054413,-0.16365601122379303,0.8690412044525146,0.3200247883796692,-0.1766367256641388
